GKA,Goroka Airport,Papua New Guinea,Goroka
MAG,Madang Airport,Papua New Guinea,Madang
HGU,Mount Hagen Kagamuga Airport,Papua New Guinea,Mount Hagen
LAE,Nadzab Airport,Papua New Guinea,Nadzab
POM,Port Moresby Jacksons International Airport,Papua New Guinea,Port Moresby
WWK,Wewak International Airport,Papua New Guinea,Wewak
UAK,Narsarsuaq Airport,Greenland,Narssarssuaq
GOH,Godthaab / Nuuk Airport,Greenland,Godthaab
SFJ,Kangerlussuaq Airport,Greenland,Sondrestrom
THU,Thule Air Base,Greenland,Thule
AEY,Akureyri Airport,Iceland,Akureyri
EGS,Egilsstaðir Airport,Iceland,Egilsstadir
HFN,Hornafjörður Airport,Iceland,Hofn
HZK,Húsavík Airport,Iceland,Husavik
IFJ,Ísafjörður Airport,Iceland,Isafjordur
KEF,Keflavik International Airport,Iceland,Keflavik
PFJ,Patreksfjörður Airport,Iceland,Patreksfjordur
RKV,Reykjavik Airport,Iceland,Reykjavik
SIJ,Siglufjörður Airport,Iceland,Siglufjordur
VEY,Vestmannaeyjar Airport,Iceland,Vestmannaeyjar
YAM,Sault Ste Marie Airport,Canada,Sault Sainte Marie
,Winnipeg / St. Andrews Airport,Canada,Winnipeg
,Halifax / CFB Shearwater Heliport,Canada,Halifax
YAY,St. Anthony Airport,Canada,St. Anthony
YAZ,Tofino / Long Beach Airport,Canada,Tofino
YBB,Kugaaruk Airport,Canada,Pelly Bay
YBC,Baie Comeau Airport,Canada,Baie Comeau
YBG,CFB Bagotville,Canada,Bagotville
YBK,Baker Lake Airport,Canada,Baker Lake
YBL,Campbell River Airport,Canada,Campbell River
YBR,Brandon Municipal Airport,Canada,Brandon
YCB,Cambridge Bay Airport,Canada,Cambridge Bay
YCD,Nanaimo Airport,Canada,Nanaimo
YCG,Castlegar/West Kootenay Regional Airport,Canada,Castlegar
YCH,Miramichi Airport,Canada,Chatham
YCL,Charlo Airport,Canada,Charlo
YCO,Kugluktuk Airport,Canada,Coppermine
YCT,Coronation Airport,Canada,Coronation
YCW,Chilliwack Airport,Canada,Chilliwack
YCY,Clyde River Airport,Canada,Clyde River
YZS,Coral Harbour Airport,Canada,Coral Harbour
YDA,Dawson City Airport,Canada,Dawson
YDB,Burwash Airport,Canada,Burwash
,Princeton Airport,Canada,Princeton
YDF,Deer Lake Airport,Canada,Deer Lake
YDL,Dease Lake Airport,Canada,Dease Lake
YDN,Dauphin Barker Airport,Canada,Dauphin
